Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,33.8,-37.3625,-90.0,top
C10,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,49.5375,-80.2,180.0,top
C11,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,49.5,-109.3,180.0,top
C2,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,43.8,-37.2625,90.0,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,34.1,-64.8625,-90.0,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,43.7,-64.8625,90.0,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,34.1,-93.8625,-90.0,top
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,43.7,-93.8625,90.0,top
C7,10uF/25V,CP_Elec_5x5.4,55.0,-121.8,-90.0,top
C8,10uF/25V,CP_Elec_5x5.4,55.0,-131.4,-90.0,top
C9,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,49.6375,-51.1,180.0,top
D1,LED,LED_D3.0mm_FlatTop,54.23,-37.0,0.0,bottom
D2,LED,LED_D3.0mm_FlatTop,48.73,-37.0,0.0,bottom
D3,LED,LED_D3.0mm_FlatTop,54.23,-66.0,0.0,bottom
D4,LED,LED_D3.0mm_FlatTop,48.73,-66.0,0.0,bottom
D5,LED,LED_D3.0mm_FlatTop,54.23,-95.0,0.0,bottom
D6,LED,LED_D3.0mm_FlatTop,48.73,-95.0,0.0,bottom
D7,D_Schottky,D_SMA_Handsoldering,46.0,-121.8225,-90.0,top
D8,D_Schottky,D_SMA_Handsoldering,46.0,-131.4225,-90.0,top
J1,Eurorack PWR,IDC-Header_2x05_P2.54mm_Vertical,36.23,-126.92,180.0,top
J10,OUTPUT2-3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,37.775,-84.0,270.0,bottom
